id,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
58FidACtoULbcXLmT7hvU8,0.929,https://api.spotify.com/v1/audio-analysis/58FidACtoULbcXLmT7hvU8,0.184,197560,0.236,2.01e-06,0,0.0946,-12.875,0,0.0353,174.823,4,https://api.spotify.com/v1/tracks/58FidACtoULbcXLmT7hvU8,audio_features,spotify:track:58FidACtoULbcXLmT7hvU8,0.0881
4PqiyUZuSwlssWRQPRkrFh,0.929,https://api.spotify.com/v1/audio-analysis/4PqiyUZuSwlssWRQPRkrFh,0.37,600533,0.104,0.908,0,0.144,-21.112,1,0.0364,78.729,3,https://api.spotify.com/v1/tracks/4PqiyUZuSwlssWRQPRkrFh,audio_features,spotify:track:4PqiyUZuSwlssWRQPRkrFh,0.134
3CDHydgW0ssTh59f0jy1y3,0.699,https://api.spotify.com/v1/audio-analysis/3CDHydgW0ssTh59f0jy1y3,0.58,282000,0.299,0.00386,10,0.0805,-13.03,1,0.0269,93.037,4,https://api.spotify.com/v1/tracks/3CDHydgW0ssTh59f0jy1y3,audio_features,spotify:track:3CDHydgW0ssTh59f0jy1y3,0.364
4fKbuhnNdYd9L0NTKECcJ5,0.951,https://api.spotify.com/v1/audio-analysis/4fKbuhnNdYd9L0NTKECcJ5,0.47,258227,0.244,0.0509,10,0.109,-13.608,0,0.0335,108.154,4,https://api.spotify.com/v1/tracks/4fKbuhnNdYd9L0NTKECcJ5,audio_features,spotify:track:4fKbuhnNdYd9L0NTKECcJ5,0.264
0DTK1wka31c9Iam2OywdKg,0.932,https://api.spotify.com/v1/audio-analysis/0DTK1wka31c9Iam2OywdKg,0.759,163067,0.417,0.796,5,0.193,-10.368,1,0.0561,96.733,4,https://api.spotify.com/v1/tracks/0DTK1wka31c9Iam2OywdKg,audio_features,spotify:track:0DTK1wka31c9Iam2OywdKg,0.856
2zSyp2dLQOoRjC4xUP6I7M,0.204,https://api.spotify.com/v1/audio-analysis/2zSyp2dLQOoRjC4xUP6I7M,0.48,663533,0.598,0.0178,1,0.23,-11.922,1,0.172,98.914,4,https://api.spotify.com/v1/tracks/2zSyp2dLQOoRjC4xUP6I7M,audio_features,spotify:track:2zSyp2dLQOoRjC4xUP6I7M,0.792
2hspCATOKb9llyIeMik89G,0.0336,https://api.spotify.com/v1/audio-analysis/2hspCATOKb9llyIeMik89G,0.561,307760,0.647,0.872,0,0.0741,-8.578,1,0.0559,157.626,4,https://api.spotify.com/v1/tracks/2hspCATOKb9llyIeMik89G,audio_features,spotify:track:2hspCATOKb9llyIeMik89G,0.936
08mNpIgvFDORGhekbe0n7A,0.989,https://api.spotify.com/v1/audio-analysis/08mNpIgvFDORGhekbe0n7A,0.72,207267,0.333,0.742,1,0.434,-14.227,1,0.0493,99.639,4,https://api.spotify.com/v1/tracks/08mNpIgvFDORGhekbe0n7A,audio_features,spotify:track:08mNpIgvFDORGhekbe0n7A,0.912
6JWOLYMYthEM6uXO5xlW6k,0.759,https://api.spotify.com/v1/audio-analysis/6JWOLYMYthEM6uXO5xlW6k,0.365,500925,0.337,0.415,11,0.0919,-12.591,0,0.0346,110.21,4,https://api.spotify.com/v1/tracks/6JWOLYMYthEM6uXO5xlW6k,audio_features,spotify:track:6JWOLYMYthEM6uXO5xlW6k,0.141
2yUwuEwgS6WyIf2YanF8Ax,0.986,https://api.spotify.com/v1/audio-analysis/2yUwuEwgS6WyIf2YanF8Ax,0.58,221293,0.0242,0.0778,0,0.107,-19.099,1,0.0674,129.722,4,https://api.spotify.com/v1/tracks/2yUwuEwgS6WyIf2YanF8Ax,audio_features,spotify:track:2yUwuEwgS6WyIf2YanF8Ax,0.178
0rsmlyJFeb3qiGxmD3jjEw,0.743,https://api.spotify.com/v1/audio-analysis/0rsmlyJFeb3qiGxmD3jjEw,0.696,272547,0.728,0.0537,7,0.0835,-6.937,1,0.034,124.092,4,https://api.spotify.com/v1/tracks/0rsmlyJFeb3qiGxmD3jjEw,audio_features,spotify:track:0rsmlyJFeb3qiGxmD3jjEw,0.963
4G3EKvGtqcUSZqPQIWJFxd,0.905,https://api.spotify.com/v1/audio-analysis/4G3EKvGtqcUSZqPQIWJFxd,0.42,257693,0.0802,0.857,7,0.135,-21.795,1,0.04,122.041,3,https://api.spotify.com/v1/tracks/4G3EKvGtqcUSZqPQIWJFxd,audio_features,spotify:track:4G3EKvGtqcUSZqPQIWJFxd,0.0541
3qQIq27L2KkSMH99rrNl2N,0.979,https://api.spotify.com/v1/audio-analysis/3qQIq27L2KkSMH99rrNl2N,0.42,307920,0.119,0.91,2,0.0991,-21.684,0,0.0455,90.127,3,https://api.spotify.com/v1/tracks/3qQIq27L2KkSMH99rrNl2N,audio_features,spotify:track:3qQIq27L2KkSMH99rrNl2N,0.19
7ysmJhXFQtiBQlk6EZ6sks,0.946,https://api.spotify.com/v1/audio-analysis/7ysmJhXFQtiBQlk6EZ6sks,0.505,295200,0.159,0.0127,7,0.212,-11.235,0,0.0336,59.385,4,https://api.spotify.com/v1/tracks/7ysmJhXFQtiBQlk6EZ6sks,audio_features,spotify:track:7ysmJhXFQtiBQlk6EZ6sks,0.196
7hK9jnESeCfc5fIHH76jKh,0.75,https://api.spotify.com/v1/audio-analysis/7hK9jnESeCfc5fIHH76jKh,0.488,145640,0.297,0.535,0,0.129,-17.101,1,0.0321,65.04,4,https://api.spotify.com/v1/tracks/7hK9jnESeCfc5fIHH76jKh,audio_features,spotify:track:7hK9jnESeCfc5fIHH76jKh,0.552
1pjATX7sbd6Y4jMVqIvzHk,0.868,https://api.spotify.com/v1/audio-analysis/1pjATX7sbd6Y4jMVqIvzHk,0.258,345400,0.139,0.00149,2,0.1,-13.522,1,0.0317,77.995,4,https://api.spotify.com/v1/tracks/1pjATX7sbd6Y4jMVqIvzHk,audio_features,spotify:track:1pjATX7sbd6Y4jMVqIvzHk,0.139
2PzI5zpqHHEbb1czdNUXSm,0.142,https://api.spotify.com/v1/audio-analysis/2PzI5zpqHHEbb1czdNUXSm,0.499,1018160,0.447,0.304,8,0.228,-11.481,1,0.0402,124.443,4,https://api.spotify.com/v1/tracks/2PzI5zpqHHEbb1czdNUXSm,audio_features,spotify:track:2PzI5zpqHHEbb1czdNUXSm,0.397
0PEgaatOV2ivOoBuIRWhgU,0.868,https://api.spotify.com/v1/audio-analysis/0PEgaatOV2ivOoBuIRWhgU,0.492,371007,0.388,0.171,7,0.115,-13.544,0,0.0335,104.198,4,https://api.spotify.com/v1/tracks/0PEgaatOV2ivOoBuIRWhgU,audio_features,spotify:track:0PEgaatOV2ivOoBuIRWhgU,0.62
1UhJzLDFPPUXqC1bmNIlc0,0.951,https://api.spotify.com/v1/audio-analysis/1UhJzLDFPPUXqC1bmNIlc0,0.608,230680,0.208,0.0,5,0.131,-11.824,1,0.0316,70.9,4,https://api.spotify.com/v1/tracks/1UhJzLDFPPUXqC1bmNIlc0,audio_features,spotify:track:1UhJzLDFPPUXqC1bmNIlc0,0.239
50k2js6trDCX2iV0KsIBGx,0.977,https://api.spotify.com/v1/audio-analysis/50k2js6trDCX2iV0KsIBGx,0.365,421467,0.115,0.0,5,0.1,-15.424,1,0.0422,68.094,4,https://api.spotify.com/v1/tracks/50k2js6trDCX2iV0KsIBGx,audio_features,spotify:track:50k2js6trDCX2iV0KsIBGx,0.259
6aQXP6ql5ko2Zipv3qIv1o,0.757,https://api.spotify.com/v1/audio-analysis/6aQXP6ql5ko2Zipv3qIv1o,0.604,463913,0.395,0.0,10,0.234,-13.536,1,0.146,85.856,4,https://api.spotify.com/v1/tracks/6aQXP6ql5ko2Zipv3qIv1o,audio_features,spotify:track:6aQXP6ql5ko2Zipv3qIv1o,0.356
4FbyGU4nbHHioKAoCpYRzH,0.966,https://api.spotify.com/v1/audio-analysis/4FbyGU4nbHHioKAoCpYRzH,0.508,356933,0.124,0.78,10,0.12,-16.525,1,0.05,68.761,3,https://api.spotify.com/v1/tracks/4FbyGU4nbHHioKAoCpYRzH,audio_features,spotify:track:4FbyGU4nbHHioKAoCpYRzH,0.361
0bv5vUJCvXM9G0cbjeikyY,0.828,https://api.spotify.com/v1/audio-analysis/0bv5vUJCvXM9G0cbjeikyY,0.714,483093,0.367,0.399,5,0.112,-12.855,1,0.0328,107.318,4,https://api.spotify.com/v1/tracks/0bv5vUJCvXM9G0cbjeikyY,audio_features,spotify:track:0bv5vUJCvXM9G0cbjeikyY,0.633
3cYHFvUYDVY9loQQ0LalJc,0.815,https://api.spotify.com/v1/audio-analysis/3cYHFvUYDVY9loQQ0LalJc,0.584,403693,0.387,0.182,7,0.112,-12.666,0,0.0397,113.257,4,https://api.spotify.com/v1/tracks/3cYHFvUYDVY9loQQ0LalJc,audio_features,spotify:track:3cYHFvUYDVY9loQQ0LalJc,0.443
1jjC4VuQ3vVS8Qw19BMksE,0.821,https://api.spotify.com/v1/audio-analysis/1jjC4VuQ3vVS8Qw19BMksE,0.466,195733,0.441,0.901,3,0.58,-10.881,1,0.0415,79.819,4,https://api.spotify.com/v1/tracks/1jjC4VuQ3vVS8Qw19BMksE,audio_features,spotify:track:1jjC4VuQ3vVS8Qw19BMksE,0.58
5AuLuhe6LXvVod82HxJtXO,0.959,https://api.spotify.com/v1/audio-analysis/5AuLuhe6LXvVod82HxJtXO,0.383,325400,0.173,0.908,2,0.112,-11.969,1,0.0306,77.945,3,https://api.spotify.com/v1/tracks/5AuLuhe6LXvVod82HxJtXO,audio_features,spotify:track:5AuLuhe6LXvVod82HxJtXO,0.0709
1eBwxDeN0OjfRGcFSE0YxY,0.876,https://api.spotify.com/v1/audio-analysis/1eBwxDeN0OjfRGcFSE0YxY,0.385,273973,0.31,0.942,0,0.127,-17.769,1,0.0351,105.816,4,https://api.spotify.com/v1/tracks/1eBwxDeN0OjfRGcFSE0YxY,audio_features,spotify:track:1eBwxDeN0OjfRGcFSE0YxY,0.378
6DH9qxj2GJi0lU2Y5FDHky,0.0634,https://api.spotify.com/v1/audio-analysis/6DH9qxj2GJi0lU2Y5FDHky,0.41,676320,0.761,0.532,5,0.0994,-8.036,1,0.111,155.267,4,https://api.spotify.com/v1/tracks/6DH9qxj2GJi0lU2Y5FDHky,audio_features,spotify:track:6DH9qxj2GJi0lU2Y5FDHky,0.418
6F9gHI5glK7oI9ebGYtcb5,0.619,https://api.spotify.com/v1/audio-analysis/6F9gHI5glK7oI9ebGYtcb5,0.681,165533,0.384,0.0,8,0.373,-10.817,1,0.0474,157.962,4,https://api.spotify.com/v1/tracks/6F9gHI5glK7oI9ebGYtcb5,audio_features,spotify:track:6F9gHI5glK7oI9ebGYtcb5,0.961
5Si2mbeT6nL3ysCIVsYu4R,0.451,https://api.spotify.com/v1/audio-analysis/5Si2mbeT6nL3ysCIVsYu4R,0.759,216387,0.638,5.34e-06,5,0.274,-10.211,0,0.0333,149.435,4,https://api.spotify.com/v1/tracks/5Si2mbeT6nL3ysCIVsYu4R,audio_features,spotify:track:5Si2mbeT6nL3ysCIVsYu4R,0.961
09JSmxCUJrjBE0dVXurHT2,0.966,https://api.spotify.com/v1/audio-analysis/09JSmxCUJrjBE0dVXurHT2,0.54,286133,0.0671,0.779,1,0.101,-18.633,1,0.0397,84.192,4,https://api.spotify.com/v1/tracks/09JSmxCUJrjBE0dVXurHT2,audio_features,spotify:track:09JSmxCUJrjBE0dVXurHT2,0.316
46QlGPMuZ1FHgrIjHLx8o9,0.458,https://api.spotify.com/v1/audio-analysis/46QlGPMuZ1FHgrIjHLx8o9,0.71,203693,0.299,1.33e-05,8,0.0547,-12.761,1,0.0628,109.313,4,https://api.spotify.com/v1/tracks/46QlGPMuZ1FHgrIjHLx8o9,audio_features,spotify:track:46QlGPMuZ1FHgrIjHLx8o9,0.705
7LHdSTKBYwB4GuiDwgsHri,0.907,https://api.spotify.com/v1/audio-analysis/7LHdSTKBYwB4GuiDwgsHri,0.152,298133,0.0882,0.00371,8,0.107,-21.102,0,0.0336,65.923,4,https://api.spotify.com/v1/tracks/7LHdSTKBYwB4GuiDwgsHri,audio_features,spotify:track:7LHdSTKBYwB4GuiDwgsHri,0.121
0SiMlVdkAPr1UPgr89t6Nc,0.477,https://api.spotify.com/v1/audio-analysis/0SiMlVdkAPr1UPgr89t6Nc,0.334,455933,0.519,0.909,2,0.11,-8.152,0,0.0319,170.402,3,https://api.spotify.com/v1/tracks/0SiMlVdkAPr1UPgr89t6Nc,audio_features,spotify:track:0SiMlVdkAPr1UPgr89t6Nc,0.397
0vwTHK0RI01avuLIrAHp8C,0.938,https://api.spotify.com/v1/audio-analysis/0vwTHK0RI01avuLIrAHp8C,0.586,285000,0.139,0.93,4,0.103,-22.365,0,0.0381,125.886,3,https://api.spotify.com/v1/tracks/0vwTHK0RI01avuLIrAHp8C,audio_features,spotify:track:0vwTHK0RI01avuLIrAHp8C,0.197
